n,diffusion_time,Precision,Precision_std,Recall,Recall_std,F1-score,F1-score_std
50,0.002,0.052000,0.016000,0.179048,0.049082,0.080577,0.024183
50,0.005,0.052000,0.016000,0.179048,0.049082,0.080577,0.024183
50,0.010,0.052000,0.016000,0.179048,0.049082,0.080577,0.024183
7,0.002,0.228571,0.069985,0.110476,0.032071,0.148918,0.043943
7,0.005,0.228571,0.069985,0.110476,0.032071,0.148918,0.043943
7,0.010,0.228571,0.069985,0.110476,0.032071,0.148918,0.043943
18,0.002,0.100000,0.041574,0.123810,0.048469,0.110606,0.044764
18,0.005,0.100000,0.041574,0.123810,0.048469,0.110606,0.044764
18,0.010,0.100000,0.041574,0.123810,0.048469,0.110606,0.044764
36,0.002,0.061111,0.020787,0.151429,0.047466,0.087059,0.028933
36,0.005,0.061111,0.020787,0.151429,0.047466,0.087059,0.028933
36,0.010,0.061111,0.020787,0.151429,0.047466,0.087059,0.028933
72,0.002,0.038889,0.010393,0.193333,0.046812,0.064742,0.017019
72,0.005,0.038889,0.010393,0.193333,0.046812,0.064742,0.017019
72,0.010,0.038889,0.010393,0.193333,0.046812,0.064742,0.017019
